symbol,organ_name
BKC,CTCP Khoáng sản Bắc Kạn
BKG,CTCP Đầu tư BKG Việt Nam
BLF,CTCP Thủy sản Bạc Liêu
BLI,Tổng Công ty cổ phần Bảo hiểm Bảo Long
BLN,CTCP Vận tải và Dịch vụ Liên Ninh
BLT,CTCP Lương thực Bình Định
BMC,CTCP Khoáng sản Bình Định
BMD,CTCP Môi trường và Dịch vụ Đô thị Bình Thuận
BMF,CTCP Vật liệu Xây dựng và Chất đốt Đồng Nai
BMG,CTCP May Bình Minh
BMI,Tổng Công ty cổ phần Bảo Minh
BMJ,CTCP Khoáng sản Miền Đông AHP
BMK,CTCP Kỹ thuật nhiệt Mèo Đen
BMP,CTCP Nhựa Bình Minh
BMS,CTCP Chứng khoán Bảo Minh
BMV,CTCP Bột mỳ Vinafood 1
BNA,CTCP Tập đoàn Đầu tư Bảo Ngọc
BNW,CTCP Nước sạch Bắc Ninh
BOT,CTCP BOT Cầu Thái Hà
BPC,CTCP VICEM Bao bì Bỉm Sơn
BQB,CTCP Bia Hà Nội - Quảng Bình
BQP,CTCP Nhựa Chất lượng cao Bình Thuận
BRC,CTCP Cao su Bến Thành
BRR,CTCP Cao su Bà Rịa
BRS,CTCP Dịch vụ Đô thị Bà Rịa
BSA,CTCP Thủy điện Buôn Đôn
BSD,"CTCP Bia, Rượu Sài Gòn - Đồng Xuân"
BSG,CTCP Xe khách Sài Gòn
BSH,CTCP Bia Sài Gòn - Hà Nội
BSI,CTCP Chứng khoán BIDV
BSL,CTCP Bia Sài Gòn - Sông Lam
BSP,CTCP Bia Sài Gòn - Phú Thọ
BSQ,CTCP Bia Sài Gòn - Quảng Ngãi
BSR,CTCP - Tổng Công ty Lọc hóa dầu Việt Nam
BT1,CTCP Bảo vệ Thực vật 1 Trung Ương
BT6,CTCP Beton 6
BTB,CTCP Bia Hà Nội - Thái Bình
BTD,CTCP Bê tông Ly tâm Thủ Đức
BTG,CTCP Bao bì Tiền Giang
BTH,CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội
BTN,CTCP Đầu tư Bitco Bình Định
BTP,CTCP Nhiệt điện Bà Rịa
BTS,CTCP Xi măng VICEM Bút Sơn
BTT,CTCP Thương mại Dịch vụ Bến Thành
BTU,CTCP Công trình Đô thị Bến Tre
BTV,CTCP Dịch vụ Du lịch Bến Thành
BTW,CTCP Cấp nước Bến Thành
BVB,Ngân hàng TMCP Bản Việt
BVG,CTCP Group Bắc Việt
BVH,Tập đoàn Bảo Việt
BVL,CTCP BV Land
BVN,CTCP Bông Việt Nam
BVS,CTCP Chứng khoán Bảo Việt
BWA,CTCP Cấp thoát nước và Xây dựng Bảo Lộc
BWE,CTCP - Tổng công ty nước - môi trường Bình Dương
BWS,CTCP Cấp nước Bà Rịa - Vũng Tàu
BXH,CTCP VICEM Bao bì Hải Phòng
C21,CTCP Thế Kỷ 21
C22,CTCP 22
C32,CTCP Đầu tư và Xây dựng 3-2
C47,CTCP Xây dựng 47
C4G,CTCP Tập đoàn CIENCO4
C69,CTCP Xây dựng 1369
C92,CTCP Xây dựng và Đầu tư 492
CAD,CTCP Chế biến và Xuất nhập khẩu Thủy sản Cadovimex
CAG,CTCP Cảng An Giang
CAN,CTCP Đồ hộp Hạ Long
CAP,CTCP Lâm Nông sản Thực phẩm Yên Bái
CAR,CTCP Tập đoàn Giáo dục Trí Việt
CAT,CTCP Thủy sản Cà Mau
CBI,CTCP Gang thép Cao Bằng
CBS,CTCP Mía Đường Cao Bằng
CC1,Tổng Công ty Xây dựng Số 1 - CTCP
CCA,CTCP Xuất nhập khẩu Thuỷ sản Cần Thơ
CCC,CTCP Xây dựng CDC
CCI,CTCP Đầu tư Phát triển Công nghiệp Thương mại Củ Chi
CCL,CTCP Đầu tư và Phát triển Đô thị Dầu khí Cửu Long
CCM,CTCP khoáng sản và Xi măng Cần Thơ
CCP,CTCP Cảng Cửa Cấm Hải Phòng
CCR,CTCP Cảng Cam Ranh
CCS,CTCP Chíp Sáng
CCT,CTCP Cảng Cần Thơ
CCV,CTCP Tư vấn Xây dựng Công nghiệp và Đô thị Việt Nam
CDC,CTCP Chương Dương
CDG,CTCP Cầu Đuống
CDN,CTCP Cảng Đà Nẵng
CDO,CTCP Tư vấn Thiết kế và Phát triển Đô thị
CDP,CTCP Dược phẩm Trung ương Codupha
CDR,CTCP Xây dựng Cao su Đồng Nai
CEN,CTCP CENCON Việt Nam
CEO,CTCP Tập đoàn C.E.O
CET,CTCP HTC Holding
CFM,CTCP CFM Private Equity
CFV,CTCP Cà phê Thắng Lợi
CGV,CTCP Vinaceglass
CH5,CTCP Xây dựng Số 5 Hà Nội
CHC,CTCP Cẩm Hà
CHP,CTCP Thủy điện Miền Trung
CHS,CTCP Chiếu sáng Công cộng Thành phố Hồ Chí Minh
CI5,CTCP Đầu Tư Xây dựng Số 5
CIA,CTCP Dịch vụ Sân bay Quốc tế Cam Ranh
CID,CTCP Xây dựng và Phát triển Cơ sở Hạ tầng
CIG,CTCP COMA 18
CII,CTCP Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh
CIP,CTCP Xây lắp và Sản xuất Công nghiệp
CJC,CTCP Cơ điện Miền Trung
CK8,CTCP Cơ khí 120
CKA,CTCP Cơ Khí An Giang
CKD,CTCP Cơ khí Đông Anh LICOGI
CKG,CTCP Tập đoàn CIC
CKV,CTCP COKYVINA
CLC,CTCP Cát Lợi
CLH,CTCP Xi măng La Hiên VVMI
CLI,CTCP Tập đoàn CNCTech
CLL,CTCP Cảng Cát Lái
CLM,CTCP Xuất nhập khẩu Than - Vinacomin
CLW,CTCP Cấp nước Chợ Lớn
CLX,CTCP Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX)
CMC,CTCP Đầu tư CMC
CMD,CTCP Vật liệu Xây dựng và Trang trí nội thất Thành phố Hồ Chí Minh
CMF,CTCP Thực phẩm Cholimex
CMG,CTCP Tập đoàn Công nghệ CMC
CMI,CTCP CMISTONE Việt Nam
CMK,CTCP Cơ khí Mạo Khê - Vinacomin
CMM,CTCP Camimex
CMN,CTCP Lương thực Thực phẩm Colusa - Miliket
CMP,CTCP Cảng Chân Mây
CMS,CTCP Tập Đoàn CMH Việt Nam
CMT,CTCP Công nghệ Mạng và Truyền thông
CMV,CTCP Thương nghiệp Cà Mau
CMW,CTCP Cấp nước Cà Mau
CMX,CTCP Camimex Group
CNA,CTCP Tổng Công ty Chè Nghệ An
CNC,CTCP Công nghệ Cao Traphaco
CNG,CTCP CNG Việt Nam
CNN,"CTCP Tư vấn Công nghệ, Thiết bị và Kiểm Định Xây dựng - Coninco"
CNT,CTCP Tập đoàn CNT
COM,CTCP Vật tư - Xăng Dầu
CPA,CTCP Cà phê Phước An
CPC,CTCP Thuốc sát trùng Cần Thơ
CPH,CTCP Phục vụ Mai táng Hải Phòng
CPI,CTCP Đầu tư Cảng Cái Lân
CQN,CTCP Cảng Quảng Ninh
CQT,CTCP Xi măng Quán Triều VVMI
CRC,CTCP Create Capital Việt Nam
CRE,CTCP Bất động sản Thế Kỷ
CRV,CTCP Tập đoàn Bất động sản CRV
CSC,CTCP Tập đoàn Cotana
CSI,CTCP Chứng khoán Kirin
CSM,CTCP Công nghiệp Cao su Miền Nam
CST,CTCP Than Cao Sơn - TKV
CSV,CTCP Hóa chất Cơ bản Miền Nam
CT3,CTCP Đầu tư và Xây dựng Công trình 3
CT6,CTCP Công trình 6
CTB,CTCP Chế tạo Bơm Hải Dương
CTD,CTCP Xây dựng Coteccons
CTF,CTCP City Auto
CTG,Ngân hàng TMCP Công Thương Việt Nam
CTI,CTCP Đầu tư Phát triển Cường Thuận IDICO
CTP,CTCP Tập đoàn CTP Group
CTR,Tổng Công ty cổ phần Công trình Viettel
CTS,CTCP Chứng khoán VietinBank
CTT,CTCP Chế tạo Máy - Vinacomin
CTW,CTCP Cấp thoát nước Cần Thơ
CTX,Tổng Công ty cổ phần Đầu tư Xây dựng và Thương mại Việt Nam
CVN,CTCP Vinam
CVT,CTCP CMC
CX8,CTCP Đầu tư và Xây lắp Constrexim Số 8
D11,CTCP Địa ốc 11
D2D,CTCP Phát triển Đô thị Công nghiệp số 2
DAC,CTCP 382 Đông Anh
DAD,CTCP Đầu tư và Phát triển Giáo dục Đà Nẵng
DAE,CTCP Sách Giáo dục tại Thành phố Đà Nẵng
DAG,CTCP Tập đoàn Nhựa Đông Á
DAH,CTCP Tập đoàn Khách sạn Đông Á
DAN,CTCP Dược Danapha
DAS,CTCP Máy - Thiết bị Dầu khí Đà Nẵng
DAT,CTCP Đầu tư du lịch và Phát triển Thủy sản
DBC,CTCP Tập đoàn Dabaco Việt Nam
DBD,CTCP Dược - Trang thiết bị Y tế Bình Định (Bidiphar)
DBM,CTCP Dược - Vật tư Y Tế Đăk Lăk
DBT,CTCP Dược phẩm Bến Tre
DC1,CTCP Đầu tư Phát triển Xây dựng Số 1
DC2,CTCP Đầu tư Phát triển - Xây dựng (DIC) số 2
DC4,CTCP DICERA Holdings
DCF,CTCP Xây dựng và Thiết kế Số 1
DCG,CTCP Tổng Công ty May Đáp Cầu
DCH,CTCP Địa chính Hà Nội
DCL,CTCP Dược phẩm Cửu Long
DCM,CTCP - Tổng công ty Phân bón Dầu khí Cà Mau
DCR,CTCP Gạch men Cosevco
DCS,CTCP Tập đoàn EDX
DCT,CTCP Tấm lợp Vật liệu Xây dựng Đồng Nai
DCV,CTCP Quản lý Quỹ Đầu tư Dragon Capital Việt Nam
DDB,CTCP Thương mại và Xây dựng Đông Dương
DDG,CTCP Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương
DDH,CTCP Đảm bảo Giao thông Đường thủy Hải Phòng
DDM,CTCP Hàng Hải Đông Đô
DDN,CTCP Dược và Thiết bị Y tế Đà Nẵng
DDV,CTCP DAP - VINACHEM
DFC,CTCP Xích líp Đông Anh
DFF,CTCP Tập đoàn Đua Fat
DGC,CTCP Tập đoàn Hóa chất Đức Giang
DGT,CTCP Công trình Giao thông Đồng Nai
DGW,CTCP Thế Giới Số
DHA,CTCP Hóa An
DHB,CTCP Phân đạm và Hóa chất Hà Bắc
DHC,CTCP Đông Hải Bến Tre
DHD,CTCP Dược Vật tư Y tế Hải Dương
DHG,CTCP Dược Hậu Giang
DHM,CTCP Đầu tư và Thương mại DHM
DHN,CTCP Dược phẩm Hà Nội
DHP,CTCP Điện cơ Hải Phòng
DHT,CTCP Dược phẩm Hà Tây
DIC,CTCP Đầu tư và Thương mại DIC
DID,CTCP DIC - Đồng Tiến
DIG,Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng
DIH,CTCP Đầu tư Phát triển Xây dựng - Hội An
DKC,CTCP Chợ Lạng Sơn
DKG,CTCP Tập đoàn Damik
DL1,CTCP Tập đoàn Alpha Seven
DLD,CTCP Du lịch Đắk Lắk
DLG,CTCP Tập đoàn Đức Long Gia Lai
DLR,CTCP Địa ốc Đà Lạt
DLT,CTCP Du lịch và Thương mại - Vinacomin
DM7,CTCP Dệt May 7
DMC,CTCP Xuất nhập khẩu Y Tế DOMESCO
DMN,CTCP Domenal
DMX,CTCP Đầu tư Điện máy Xanh
DNA,CTCP Điện Nước An Giang
DNC,CTCP Điện Nước Lắp máy Hải Phòng
DND,CTCP Đầu tư Xây dựng và Vật liệu Đồng Nai
DNE,CTCP Môi trường Đô thị Đà Nẵng
DNH,CTCP Thủy điện Đa Nhim - Hàm Thuận - Đa Mi
DNL,CTCP Logistics Cảng Đà Nẵng
DNM,Tổng Công ty cổ phần Y tế DANAMECO
DNN,CTCP Cấp nước Đà Nẵng
DNP,CTCP DNP Holding
DNT,CTCP Du lịch Đồng Nai
DNW,CTCP Cấp nước Đồng Nai
DOC,CTCP Vật tư Nông Nghiệp Đồng Nai
DOP,CTCP Vận tải Xăng dầu Đồng Tháp
DP1,CTCP Dược phẩm Trung ương CPC1
DP2,CTCP Dược phẩm Trung ương 2
DP3,CTCP Dược phẩm Trung ương 3
DPC,CTCP Nhựa Đà Nẵng
DPG,CTCP Tập đoàn Đạt Phương
DPH,CTCP Dược phẩm Hải Phòng
DPM,Tổng công ty Phân bón và Hóa chất Dầu khí - CTCP
DPP,CTCP Dược Đồng Nai
DPR,CTCP Cao su Đồng Phú
DQC,CTCP Tập đoàn Điện Quang
DRC,CTCP Cao su Đà Nẵng
DRG,CTCP Cao su Đắk Lắk
DRH,CTCP DRH Holdings
DRI,CTCP Đầu tư Cao su Đắk Lắk
DRL,CTCP Thủy điện - Điện Lực 3
DS3,CTCP DS3
DSC,CTCP Chứng khoán DSC
DSD,CTCP DHC Suối Đôi
DSE,CTCP Chứng khoán DNSE
DSG,CTCP Kính Đáp Cầu
DSH,CTCP Đông Sơn Holding
DSN,CTCP Công viên nước Đầm Sen
DSP,CTCP Dịch vụ Du lịch Phú Thọ
DST,CTCP Đầu tư Sao Thăng Long
DTA,CTCP Đệ Tam
DTC,CTCP Viglacera Đông Triều
DTD,CTCP Đầu tư Phát triển Thành Đạt
DTG,CTCP Dược phẩm Tipharco
DTH,CTCP Dược - Vật tư Y Tế Thanh Hóa
DTI,CTCP Đầu tư Đức Trung
DTK,Tổng Công ty Điện lực TKV - CTCP
DTL,CTCP Đại Thiên Lộc
DTP,CTCP Dược phẩm CPC1 Hà Nội
DTT,CTCP Kỹ nghệ Đô Thành
DUS,CTCP Dịch vụ Đô thị Đà Lạt
DVC,CTCP Thương mại Dịch vụ Tổng hợp Cảng Hải Phòng
DVG,CTCP Đại Việt Group DVG
DVM,CTCP Dược liệu Việt Nam
DVN,Tổng Công ty Dược Việt Nam - CTCP
DVP,CTCP Đầu tư và Phát triển Cảng Đình Vũ
DVT,Trung tâm đào tạo nghiệp vụ Giao thông vận tải Bình Định
DVW,CTCP Dịch vụ và Xây dựng Cấp nước Đồng Nai
DWC,CTCP Cấp nước Đắk Lắk
DWS,CTCP Cấp nước và Môi trường đô thị Đồng Tháp
DXG,CTCP Bluemarq Group
DXL,CTCP Du Lịch và Xuất nhập khẩu Lạng Sơn
DXP,CTCP Cảng Đoạn Xá
DXS,CTCP Dịch vụ Bất động sản Đất Xanh
DXV,CTCP VICEM Vật liệu Xây dựng Đà Nẵng
E12,CTCP Xây dựng Điện VNECO12
E29,CTCP Đầu tư Xây dựng và Kỹ thuật 29
EBS,CTCP Sách Giáo dục tại Thành phố Hà Nội
ECI,CTCP Tập Đoàn ECI
ECO,CTCP Nhựa sinh thái Việt Nam
EFI,CTCP Đầu tư Tài chính Giáo dục
EGL,CTCP Môi trường Đô thị Gia Lâm
EIB,Ngân hàng TMCP Xuất nhập khẩu Việt Nam
EIC,CTCP EVN Quốc tế
EID,CTCP Đầu tư và Phát triển Giáo dục Hà Nội
EIN,CTCP Đầu tư - Thương mại - Dịch vụ Điện Lực
ELC,CTCP Công Nghệ - Viễn Thông Elcom
EME,CTCP Điện cơ
EMG,CTCP Thiết bị Phụ Tùng Cơ Điện
EMS,Tổng Công ty Chuyển phát nhanh Bưu Điện - CTCP
EVE,CTCP Everpia
EVF,Công ty Tài chính Tổng hợp Cổ phần Điện lực
EVG,CTCP Tập đoàn EverLand
EVS,CTCP Chứng khoán EVS
F88,CTCP Đầu tư F88
FBC,CTCP Cơ khí Phổ Yên
FCC,CTCP Liên hợp Thực phẩm
FCM,CTCP Bê tông Phan Vũ Hà Nam
FCN,CTCP FECON
FCS,CTCP Lương thực Thành phố Hồ Chí Minh
FDC,CTCP Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh
FGL,CTCP Cà phê Gia Lai
FHN,CTCP Xuất nhập khẩu Lương thực - Thực phẩm Hà Nội
FHS,CTCP Phát hành Sách Thành phố Hồ Chí Minh
FIC,Tổng Công ty Vật liệu Xây dựng số 1 - CTCP
FID,CTCP Đầu tư và Phát triển Doanh nghiệp Việt Nam
FIR,CTCP Địa ốc First Real
FIT,CTCP Tập đoàn F.I.T
FMC,CTCP Thực phẩm Sao Ta
FOC,CTCP Dịch vụ Trực tuyến FPT
FOX,CTCP Viễn thông FPT
FPT,CTCP FPT
FRC,CTCP Lâm đặc sản Xuất khẩu Quảng Nam
FRM,CTCP Lâm Nghiệp Sài Gòn
FRT,CTCP Bán lẻ Kỹ thuật số FPT
FSO,CTCP Cơ khí đóng tàu Thủy sản Việt Nam
FT1,CTCP Phụ tùng Máy số 1
FTI,CTCP Công nghiệp - Thương mại Hữu Nghị
FTM,CTCP Đầu tư và Phát triển Đức Quân
FTS,CTCP Chứng khoán FPT
G20,CTCP Đầu tư Dệt may Vĩnh Phúc
G36,Tổng Công ty 36 - CTCP
GAS,Tổng Công ty Khí Việt Nam - CTCP
GCB,CTCP Petec Bình Định
GCF,CTCP Thực phẩm G.C
GDA,CTCP Tôn Đông Á
GDH,CTCP Tập đoàn GDC
GDT,CTCP Chế biến Gỗ Đức Thành
GDW,CTCP Cấp nước Gia Định
GEE,CTCP Điện lực Gelex
GEG,CTCP Điện Gia Lai
GEL,CTCP Hạ tầng GELEX
GER,CTCP Thể thao Ngôi sao Geru
GEX,CTCP Tập đoàn GELEX
GGG,CTCP Ô tô Giải Phóng
GH3,CTCP Công trình Giao thông Hà Nội
GHC,CTCP Thủy điện Gia Lai
GIC,CTCP VSC Green Logistics
GIL,CTCP Sản xuất Kinh doanh và Xuất nhập khẩu Bình Thạnh
GKM,CTCP GKM Holdings
GLC,CTCP Vàng Lào Cai
GLT,CTCP Kỹ thuật Điện Toàn cầu
GLW,CTCP Cấp thoát nước Gia Lai
GMA,CTCP G-Automobile
GMC,CTCP Garmex Sài Gòn
GMD,CTCP Tập đoàn Gemadept
GMH,CTCP Minh Hưng Quảng Trị
GMX,CTCP Gạch ngói Gốm Xây dựng Mỹ Xuân
GND,CTCP Gạch ngói Đồng Nai
GPC,CTCP Tập đoàn Green+
GSM,CTCP Thủy điện Hương Sơn
GSP,CTCP Vận tải Sản Phẩm Khí Quốc tế
GTA,CTCP Chế biến gỗ Thuận An
GTD,CTCP Giầy Thượng Đình
GTS,CTCP Công trình Giao thông Sài Gòn
GTT,CTCP Thuận Thảo
GVR,Tập đoàn Công nghiệp Cao su Việt Nam - CTCP
GVT,CTCP Giấy Việt Trì
H11,CTCP Xây dựng HUD101
HAC,CTCP Chứng khoán Hải Phòng
HAD,CTCP Bia Hà Nội - Hải Dương
HAF,CTCP Thực phẩm Hà Nội
HAG,CTCP Hoàng Anh Gia Lai
HAH,CTCP Vận tải và Xếp dỡ Hải An
HAM,CTCP Vật tư Hậu Giang
HAN,Tổng Công ty Xây dựng Hà Nội - CTCP
HAP,CTCP Tập đoàn Hapaco
HAR,CTCP Đầu tư Thương mại Bất động sản An Dương Thảo Điền
HAS,CTCP Hacisco
HAT,CTCP Thương mại Bia Hà Nội
HAV,CTCP Rượu Hapro
HAX,CTCP Dịch vụ Ô tô Hàng Xanh
HBC,CTCP Tập đoàn Xây dựng Hòa Bình
HBD,CTCP Bao Bì PP Bình Dương
HBH,CTCP Habeco - Hải Phòng
HBS,CTCP Chứng khoán Hòa Bình
HC1,CTCP Xây dựng Số 1 Hà Nội
HC3,CTCP Xây dựng Số 3 Hải Phòng
HCC,CTCP Bê tông Hòa Cầm - Intimex
HCD,CTCP Đầu tư Sản xuất và Thương mại HCD
HCI,CTCP Đầu tư Xây dựng Hà Nội
HCM,CTCP Chứng khoán Thành phố Hồ Chí Minh
HCT,CTCP Thương mại Dịch vụ Vận tải Xi măng Hải Phòng
HD2,CTCP Đầu tư Phát triển Nhà HUD2
HD6,CTCP Đầu tư và Phát triển Nhà Số 6 Hà Nội
HD8,CTCP Đầu tư Phát triển Nhà và Đô thị HUD8
HDA,CTCP Hãng sơn Đông Á
HDB,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh
HDC,CTCP Phát triển Nhà Bà Rịa - Vũng Tàu
HDG,CTCP Tập đoàn Hà Đô
HDM,CTCP Dệt may Huế
HDP,CTCP Dược Hà Tĩnh
HDW,CTCP Kinh doanh Nước sạch Hải Dương
HEC,CTCP Tư vấn Xây dựng Thủy Lợi II
HEJ,Tổng Công ty Tư vấn Xây dựng Thủy lợi Việt Nam - CTCP
HEP,CTCP Môi trường và Công trình Đô thị Huế
HES,CTCP Dịch vụ Giải trí Hà Nội
HEV,CTCP Sách Đại học - Dạy nghề
HFB,CTCP Công trình Cầu phà Thành phố Hồ Chí Minh
HFC,CTCP Xăng dầu HFC
HFX,CTCP Sản xuất - Xuất nhập khẩu Thanh Hà
HGM,CTCP Cơ khí và Khoáng sản Hà Giang
HGT,CTCP Du lịch Hương Giang
HHB,CTCP Bia Hà Nội - Hồng Hà
HHC,CTCP Bánh kẹo Hải Hà
HHG,CTCP Hoàng Hà
HHN,CTCP Vận tải và Dịch vụ Hàng hóa Hà Nội
HHP,CTCP HHP Global
HHS,CTCP Đầu tư Dịch vụ Hoàng Huy
HHV,CTCP Đầu tư Hạ tầng Giao thông Đèo Cả
HID,CTCP Halcom Việt Nam
HII,CTCP An Tiến Industries
HIO,CTCP Helio Energy
HJC,CTCP Hòa Việt
HJS,CTCP Thủy điện Nậm Mu
HKB,CTCP Nông nghiệp và Thực phẩm Hà Nội - Kinh Bắc
HKT,CTCP QP Holdings
HLA,CTCP Hữu Liên Á Châu
HLB,CTCP Bia và Nước giải khát Hạ Long
HLC,CTCP Than Hà Lầm - Vinacomin
HLD,CTCP Đầu tư và Phát triển Bất động sản Hudland
HLO,CTCP Công nghệ Ha Lô
HLS,CTCP Sứ Kỹ thuật Hoàng Liên Sơn
HLT,CTCP Dệt may Hoàng Thị Loan
HLY,CTCP Gốm Xây Dựng Yên Hưng
HMC,CTCP Kim khí Thành phố Hồ Chí Minh - VNSTEEL
HMD,CTCP Hóa chất Minh Đức
HMG,CTCP Kim khí Hà Nội - VNSTEEL
HMH,CTCP Hải Minh
HMR,CTCP Đá Hoàng Mai
HMS,CTCP Xây dựng Bảo tàng Hồ Chí Minh
HNA,CTCP Thủy điện Hủa Na
HNB,CTCP Bến xe Hà Nội
HND,CTCP Nhiệt điện Hải Phòng
HNF,CTCP Thực phẩm Hữu Nghị
HNG,CTCP Nông nghiệp Quốc tế Hoàng Anh Gia Lai
HNI,CTCP May Hữu Nghị
HNM,CTCP Sữa Hà Nội
HNP,CTCP Hanel Xốp nhựa
HNR,CTCP Rượu và Nước giải khát Hà Nội
HOM,CTCP Xi măng VICEM Hoàng Mai
HOT,CTCP Du lịch - Dịch vụ Hội An
HPA,CTCP Phát triển Nông nghiệp Hòa Phát
HPB,CTCP Bao bì PP
HPD,CTCP Thủy điện ĐăK Đoa
HPG,CTCP Tập đoàn Hòa Phát
HPH,CTCP Hóa Chất Hưng Phát Hà Bắc
