symbol,has_fireant_ohlcv,has_vnstock_ohlcv,in_vnstock_listing_snapshot,vnstock_organ_name,listing_evidence_status,activity_status,delisted_status,snapshot_date
APH,True,True,True,CTCP Tập đoàn An Phát Holdings,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
API,True,True,True,CTCP Đầu tư Châu Á - Thái Bình Dương,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
APL,True,True,True,CTCP Cơ khí và Thiết bị áp lực - VVMI,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
APP,True,True,True,CTCP Phát triển Phụ gia và Sản phẩm Dầu Mỏ,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
APS,True,True,True,CTCP Chứng khoán Châu Á Thái Bình Dương,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
APT,True,True,True,CTCP Kinh doanh Thủy Hải Sản Sài Gòn,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
ARM,True,True,True,CTCP Xuất nhập khẩu Hàng không,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
ART,True,True,True,CTCP Chứng khoán ARTEX,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
ASG,True,True,True,CTCP Tập đoàn ASG,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
ASM,True,True,True,CTCP Tập đoàn Sao Mai,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
ASP,True,True,True,CTCP Tập đoàn Dầu khí An Pha,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
AST,True,True,True,CTCP Dịch vụ Hàng không Taseco,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
ATA,True,True,True,CTCP Ntaco,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
ATG,True,True,True,CTCP ATG Planet,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
ATS,True,True,True,CTCP Tập đoàn Đầu tư ATS,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
AVC,True,True,True,CTCP Thủy điện A Vương,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
AVG,True,True,True,CTCP Phân bón Quốc tế Âu Việt,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BAB,True,True,True,Ngân hàng TMCP Bắc Á,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BAF,True,True,True,CTCP Nông nghiệp BAF Việt Nam,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BAL,True,True,True,CTCP Bao bì Bia - Rượu - Nước giải khát,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BAX,True,True,True,CTCP Thống Nhất,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BBH,True,True,True,CTCP Bao bì Hoàng Thạch,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BBM,True,True,True,CTCP Bia Hà Nội - Nam Định,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BBS,True,True,True,CTCP VICEM Bao bì Bút Sơn,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BBT,True,True,True,CTCP Bông Bạch Tuyết,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BCA,True,True,True,CTCP B.C.H,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BCB,True,True,True,CTCP 397,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BCC,True,True,True,CTCP Xi măng Bỉm Sơn,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BCE,True,True,True,CTCP Xây dựng và Giao thông Bình Dương,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BCF,True,True,True,CTCP Thực phẩm Bích Chi,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BCG,True,True,True,CTCP Tập đoàn Bamboo Capital,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BCM,True,True,True,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BCP,True,True,True,CTCP Dược ENLIE,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BCR,True,True,True,CTCP BCG Land,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BCV,True,True,True,CTCP Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BDG,True,True,True,CTCP May mặc Bình Dương,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BDT,True,True,True,CTCP Xây lắp và Vật liệu Xây dựng Đồng Tháp,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BDW,True,True,True,CTCP Cấp thoát nước Bình Định,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BED,True,True,True,CTCP Sách và Thiết bị Trường học Đà Nẵng,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BEL,True,True,True,CTCP Điện tử Biên Hòa,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BFC,True,True,True,CTCP Phân bón Bình Điền,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BGE,True,True,True,CTCP BCG Energy,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BGW,True,True,True,CTCP Nước sạch Bắc Giang,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BHA,True,True,True,CTCP Thủy điện Bắc Hà,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BHC,True,True,True,CTCP Bê tông Biên Hòa,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BHG,True,True,True,CTCP Chè Biển Hồ,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BHH,True,True,True,CTCP Bia Hà Nội - Hưng Yên 89,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BHI,True,True,True,Tổng Công ty cổ phần Bảo hiểm Sài Gòn - Hà Nội,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BHK,True,True,True,CTCP Bia Hà Nội - Kim Bài,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BHN,True,True,True,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BHP,True,True,True,CTCP Bia Hà Nội - Hải Phòng,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BIC,True,True,True,Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BID,True,True,True,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BIG,True,True,True,CTCP Tập đoàn Đầu tư Big,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BIO,True,True,True,CTCP Vắc xin và Sinh phẩm Nha Trang,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BKC,True,True,True,CTCP Khoáng sản Bắc Kạn,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BKG,True,True,True,CTCP Đầu tư BKG Việt Nam,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BLF,True,True,True,CTCP Thủy sản Bạc Liêu,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BLI,True,True,True,Tổng Công ty cổ phần Bảo hiểm Bảo Long,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BLN,True,True,True,CTCP Vận tải và Dịch vụ Liên Ninh,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BLT,True,True,True,CTCP Lương thực Bình Định,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BMC,True,True,True,CTCP Khoáng sản Bình Định,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BMD,True,True,True,CTCP Môi trường và Dịch vụ Đô thị Bình Thuận,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BMF,True,True,True,CTCP Vật liệu Xây dựng và Chất đốt Đồng Nai,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BMG,True,True,True,CTCP May Bình Minh,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BMI,True,True,True,Tổng Công ty cổ phần Bảo Minh,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BMJ,True,True,True,CTCP Khoáng sản Miền Đông AHP,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BMK,True,True,True,CTCP Kỹ thuật nhiệt Mèo Đen,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BMP,True,True,True,CTCP Nhựa Bình Minh,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BMS,True,True,True,CTCP Chứng khoán Bảo Minh,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BMV,True,True,True,CTCP Bột mỳ Vinafood 1,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BNA,True,True,True,CTCP Tập đoàn Đầu tư Bảo Ngọc,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BNW,True,True,True,CTCP Nước sạch Bắc Ninh,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BOT,True,True,True,CTCP BOT Cầu Thái Hà,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BPC,True,True,True,CTCP VICEM Bao bì Bỉm Sơn,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BQB,True,True,True,CTCP Bia Hà Nội - Quảng Bình,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BQP,True,True,True,CTCP Nhựa Chất lượng cao Bình Thuận,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BRC,True,True,True,CTCP Cao su Bến Thành,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BRR,True,True,True,CTCP Cao su Bà Rịa,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BRS,True,True,True,CTCP Dịch vụ Đô thị Bà Rịa,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BSA,True,True,True,CTCP Thủy điện Buôn Đôn,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BSD,True,True,True,"CTCP Bia, Rượu Sài Gòn - Đồng Xuân",present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BSG,True,True,True,CTCP Xe khách Sài Gòn,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BSH,True,True,True,CTCP Bia Sài Gòn - Hà Nội,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BSI,True,True,True,CTCP Chứng khoán BIDV,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BSL,True,True,True,CTCP Bia Sài Gòn - Sông Lam,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BSP,True,True,True,CTCP Bia Sài Gòn - Phú Thọ,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BSQ,True,True,True,CTCP Bia Sài Gòn - Quảng Ngãi,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BSR,True,True,True,CTCP - Tổng Công ty Lọc hóa dầu Việt Nam,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BT1,True,True,True,CTCP Bảo vệ Thực vật 1 Trung Ương,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BT6,True,True,True,CTCP Beton 6,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BTB,True,True,True,CTCP Bia Hà Nội - Thái Bình,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BTD,True,True,True,CTCP Bê tông Ly tâm Thủ Đức,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BTG,True,True,True,CTCP Bao bì Tiền Giang,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BTH,True,True,True,CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BTN,True,True,True,CTCP Đầu tư Bitco Bình Định,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BTP,True,True,True,CTCP Nhiệt điện Bà Rịa,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BTS,True,True,True,CTCP Xi măng VICEM Bút Sơn,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BTT,True,True,True,CTCP Thương mại Dịch vụ Bến Thành,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BTU,True,True,True,CTCP Công trình Đô thị Bến Tre,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BTV,True,True,True,CTCP Dịch vụ Du lịch Bến Thành,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BTW,True,True,True,CTCP Cấp nước Bến Thành,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BVB,True,True,True,Ngân hàng TMCP Bản Việt,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BVG,True,True,True,CTCP Group Bắc Việt,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BVH,True,True,True,Tập đoàn Bảo Việt,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BVL,True,True,True,CTCP BV Land,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BVN,True,True,True,CTCP Bông Việt Nam,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BVS,True,True,True,CTCP Chứng khoán Bảo Việt,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BWA,True,True,True,CTCP Cấp thoát nước và Xây dựng Bảo Lộc,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BWE,True,True,True,CTCP - Tổng công ty nước - môi trường Bình Dương,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BWS,True,True,True,CTCP Cấp nước Bà Rịa - Vũng Tàu,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
BXH,True,True,True,CTCP VICEM Bao bì Hải Phòng,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
C21,True,True,True,CTCP Thế Kỷ 21 ,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
C22,True,True,True,CTCP 22,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
C32,True,True,True,CTCP Đầu tư và Xây dựng 3-2,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
C47,True,True,True,CTCP Xây dựng 47,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
C4G,True,True,True,CTCP Tập đoàn CIENCO4,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
C69,True,True,True,CTCP Xây dựng 1369,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
C92,True,True,True,CTCP Xây dựng và Đầu tư 492,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CAD,True,True,True,CTCP Chế biến và Xuất nhập khẩu Thủy sản Cadovimex,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CAG,True,True,True,CTCP Cảng An Giang,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CAN,True,True,True,CTCP Đồ hộp Hạ Long,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CAP,True,True,True,CTCP Lâm Nông sản Thực phẩm Yên Bái,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CAR,True,True,True,CTCP Tập đoàn Giáo dục Trí Việt,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CAT,True,True,True,CTCP Thủy sản Cà Mau,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CBI,True,True,True,CTCP Gang thép Cao Bằng,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CBS,True,True,True,CTCP Mía Đường Cao Bằng,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CC1,True,True,True,Tổng Công ty Xây dựng Số 1 - CTCP,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CCA,True,True,True,CTCP Xuất nhập khẩu Thuỷ sản Cần Thơ,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CCC,True,True,True,CTCP Xây dựng CDC,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CCI,True,True,True,CTCP Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CCL,True,True,True,CTCP Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CCM,True,True,True,CTCP khoáng sản và Xi măng Cần Thơ,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CCP,True,True,True,CTCP Cảng Cửa Cấm Hải Phòng,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CCR,True,True,True,CTCP Cảng Cam Ranh,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CCS,True,True,True,CTCP Chíp Sáng,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CCT,True,True,True,CTCP Cảng Cần Thơ,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CCV,True,True,True,CTCP Tư vấn Xây dựng Công nghiệp và Đô thị Việt Nam,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CDC,True,True,True,CTCP Chương Dương,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CDG,True,True,True,CTCP Cầu Đuống,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CDN,True,True,True,CTCP Cảng Đà Nẵng,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CDO,True,True,True,CTCP Tư vấn Thiết kế và Phát triển Đô thị,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CDP,True,True,True,CTCP Dược phẩm Trung ương Codupha,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CDR,True,True,True,CTCP Xây dựng Cao su Đồng Nai,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CEN,True,True,True,CTCP CENCON Việt Nam,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CEO,True,True,True,CTCP Tập đoàn C.E.O,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CET,True,True,True,CTCP HTC Holding,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CFM,True,True,True,CTCP CFM Private Equity,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CFV,True,True,True,CTCP Cà phê Thắng Lợi,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CGV,True,True,True,CTCP Vinaceglass,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CH5,True,True,True,CTCP Xây dựng Số 5 Hà Nội,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CHC,True,True,True,CTCP Cẩm Hà,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CHP,True,True,True,CTCP Thủy điện Miền Trung,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CHS,True,True,True,CTCP Chiếu sáng Công cộng Thành phố Hồ Chí Minh,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CI5,True,True,True,CTCP Đầu Tư Xây dựng Số 5,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CIA,True,True,True,CTCP Dịch vụ Sân bay Quốc tế Cam Ranh,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CID,True,True,True,CTCP Xây dựng và Phát triển Cơ sở Hạ tầng,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CIG,True,True,True,CTCP COMA 18,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CII,True,True,True,CTCP Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CIP,True,True,True,CTCP Xây lắp và Sản xuất Công nghiệp,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CJC,True,True,True,CTCP Cơ điện Miền Trung,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CK8,True,True,True,CTCP Cơ khí 120,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CKA,True,True,True,CTCP Cơ Khí An Giang,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CKD,True,True,True,CTCP Cơ khí Đông Anh LICOGI,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CKG,True,True,True,CTCP Tập đoàn CIC,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CKV,True,True,True,CTCP COKYVINA,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CLC,True,True,True,CTCP Cát Lợi,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CLH,True,True,True,CTCP Xi măng La Hiên VVMI,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CLI,True,True,True,CTCP Tập đoàn CNCTech,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CLL,True,True,True,CTCP Cảng Cát Lái,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CLM,True,True,True,CTCP Xuất nhập khẩu Than - Vinacomin,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CLW,True,True,True,CTCP Cấp nước Chợ Lớn,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CLX,True,True,True,CTCP Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CMC,True,True,True,CTCP Đầu tư CMC,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CMD,True,True,True,CTCP Vật liệu Xây dựng và Trang trí nội thất Thành phố Hồ Chí Minh,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CMF,True,True,True,CTCP Thực phẩm Cholimex,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CMG,True,True,True,CTCP Tập đoàn Công nghệ CMC,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CMI,True,True,True,CTCP CMISTONE Việt Nam,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CMK,True,True,True,CTCP Cơ khí Mạo Khê - Vinacomin,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CMM,True,True,True,CTCP Camimex,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CMN,True,True,True,CTCP Lương thực Thực phẩm Colusa - Miliket,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
CMP,True,True,True,CTCP Cảng Chân Mây,present_in_current_vnstock_listing,unknown,unverified,2026-08-09
